Loss Reason,Days Offer Close,Discount code,Price,Use Case_offer,Price Category,Days Lead Offer,Pain,Source,Status_offer
not target,3,YEARLY30PROMO,1344.0,Corporate Events,mid,31.0,quality of delivery,Outbound,Closed Lost
No Loss,48,No Discount,360.0,Sports Events,low,2.0,quality of delivery,Outbound,Demo 1
No Loss,0,ANNUAL60DEAL,960.0,Corporate Events,mid,0.0,operations,Outbound,Closed Won
No Loss,0,10OFFREDUCED,324.0,Corporate Events,low,0.0,operations,Outbound,Closed Won
No Loss,1,10OFFREDUCED,1008.0,Sports Events,mid,-1.0,operations,Unknown,Closed Won
No Loss,1,SLASH10,324.0,Educational Seminars,low,6.0,operations,Outbound,Closed Won
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,150.0,operations,Outbound,Closed Won
No Loss,0,4SEMESTERS40DEAL,720.0,Corporate Events,mid,33.0,operations,Inbound,Closed Won
lost to competitor,1,No Discount,0.0,Corporate Events,low,0.0,operations,Inbound,Closed Lost
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,2.0,operations,Inbound,Closed Won
no response,10,YEARLONG75BONUS,8014.0,Educational Seminars,high,1.0,operations,Inbound,Closed Lost
No Loss,70,SAVEQUARTER25,450.0,Educational Seminars,low,-1.0,operations,Unknown,Closed Won
No Loss,0,10OFFREDUCED,324.0,Corporate Events,low,0.0,operations,Inbound,Closed Won
lost to competitor,3,ANNUAL30BONUS,1344.0,Educational Seminars,mid,2.0,Unknown,Outbound,Closed Lost
No Loss,0,MONTH50CUTBACK,300.0,Corporate Events,low,6.0,operations,Inbound,Negotiation
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,-1.0,quality of delivery,Unknown,Closed Won
No Loss,0,ANNUAL30BONUS,1344.0,Educational Seminars,mid,0.0,quality of delivery,Inbound,Negotiation
No Loss,0,HALFYEAR20G,768.0,Sports Events,mid,424.0,quality of delivery,Inbound,Closed Won
lost to competitor,92,No Discount,300.0,Corporate Events,low,0.0,financial control,Outbound,Closed Lost
not target,80,2SEMESTERS20SALE,576.0,Corporate Events,mid,0.0,operations,Outbound,Closed Lost
No Loss,3,DISCOUNT25QUICK,360.0,Educational Seminars,low,21.0,Unknown,Outbound,Closed Won
No Loss,4,ANNUAL30BONUS,1344.0,Educational Seminars,mid,-1.0,quality of delivery,Unknown,Checkbox
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,78.0,operations,Outbound,Closed Won
